"","alcid","bufflehead","cormorant","dabbling duck","goldeneye","goose","grebe","gull","Harlequin duck","long-tailed duck","loon","merganser","ruddy duck","scaup","scoter","Z.UNK"
"275",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"276",8,0,6,0,0,0,2,1,0,0,0,0,0,0,0,0
"277",0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0
"278",0,28,1,0,0,0,1,3,0,0,1,11,0,1,2,0
"279",2,0,0,0,0,0,31,0,0,0,1,0,0,17,35,0
"280",1,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0
"281",1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
"282",4,36,0,12,2,0,24,25,0,0,2,2,0,0,11,0
"283",0,31,1,0,1,20,2,4,22,0,0,2,0,0,2,0
"284",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"285",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"286",10,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0
"287",164,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0
"288",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"289",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"290",5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"291",71,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0
"292",32,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"293",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"294",4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"295",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"296",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"297",0,1,0,0,0,0,2,1,2,3,0,0,0,0,6,0
"298",0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0
"299",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300",1,0,2,0,0,0,4,20,2,2,0,0,0,0,0,0
"301",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"302",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"303",0,9,0,0,0,0,0,4,0,0,0,38,0,0,0,0
"304",0,9,0,148,0,0,0,197,0,0,0,5,0,0,0,0
"305",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"306",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"307",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"308",0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"309",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"310",0,19,4,0,2,0,2,1,0,0,0,0,0,0,10,0
"311",0,1,0,0,0,0,1,0,4,0,0,0,0,0,4,0
"312",0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"313",0,49,0,11,0,0,0,26,0,0,0,0,0,0,0,0
"314",0,34,0,0,0,0,0,56,0,0,0,4,0,0,3,0
"315",0,24,0,28,1,4,0,22,0,0,0,3,0,0,0,0
"316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"317",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"319",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"320",50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"321",24,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
