"","alcid","bufflehead","cormorant","dabbling duck","goldeneye","goose","grebe","gull","Harlequin duck","long-tailed duck","loon","merganser","ruddy duck","scaup","scoter","Z.UNK"
"245",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"246",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"247",0,84,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"248",0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"249",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"250",0,0,0,0,0,0,13,0,0,16,0,0,0,0,0,0
"251",0,0,0,0,0,0,1,2,0,5,0,0,0,0,2,1
"252",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"253",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"254",1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
"255",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"256",1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"257",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"258",4,0,0,0,0,0,0,2,0,0,0,17,0,0,0,0
"259",0,0,0,0,0,0,0,2,0,3,0,0,0,0,3,0
"260",0,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0
"261",0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"262",0,0,0,0,0,1,0,4,0,0,0,4,0,0,0,0
"263",2,17,0,7,0,513,0,10,0,0,0,0,0,0,0,0
"264",0,29,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"265",0,43,0,0,1,4,0,0,1,0,0,0,0,0,0,1
"266",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"267",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"268",1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"269",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"270",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"271",2,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0
"272",3,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0
